Tag, Frequency
<a>, 323
<li>, 297
<div>, 85
<option>, 67
<span>, 58
<bdi>, 37
<small>, 13
<strong>, 12
<ul>, 8
<h2>, 5
<script>, 4
<i>, 4
<style>, 4
<p>, 2
<button>, 2
<form>, 1
<html>, 1
<body>, 1
<h1>, 1
<title>, 1
<label>, 1
<select>, 1
<head>, 1
<fieldset>, 1
