Tag, Frequency
<a>, 311
<div>, 127
<h3>, 31
<p>, 28
<i>, 19
<h4>, 17
<h2>, 11
<script>, 10
<span>, 8
<nav>, 7
<h1>, 6
<iframe>, 3
<button>, 1
<html>, 1
<body>, 1
<title>, 1
<footer>, 1
<strong>, 1
<head>, 1
<style>, 1
